SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,31-MAR-2022,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,30-APR-2022,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,31-MAY-2022,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,30-JUN-2022,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,31-JUL-2022,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,31-AUG-2022,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,30-SEP-2022,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,31-OCT-2022,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,30-NOV-2022,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,31-DEC-2022,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,31-JAN-2023,INE005A08AA6
ICICI0101,ICICI Limited,NC,5000,5000,1,0,22-FEB-2001,19-JAN-2001,19-JAN-2023,,,,,INE005A08AA6
ICICI0102,ICICI Limited,NB,40000,5000,1,0,18-FEB-2002,23-JAN-2002,23-JAN-2023,40000,,,,INE005A11AU8
ICICI0102,ICICI Limited,NB,40000,5000,1,0,18-FEB-2002,23-JAN-2002,23-JAN-2023,,,,23-JAN-2023,INE005A11AU8
ICICI0199,ICICI Limited,NB,100000,4000,1,0,15-JAN-1999,11-JAN-1999,11-JUN-2023,100000,,,,INE005A11382
ICICI0199,ICICI Limited,NB,100000,4000,1,0,15-JAN-1999,11-JAN-1999,11-JUN-2023,,,,11-JUN-2023,INE005A11382
ICICI0202,ICICI Limited,NC,40000,5000,1,0,15-MAR-2002,19-FEB-2002,19-FEB-2023,40000,,,,INE005A11BA8
ICICI0202,ICICI Limited,NC,40000,5000,1,0,15-MAR-2002,19-FEB-2002,19-FEB-2023,,,,19-FEB-2023,INE005A11BA8
ICICI0301,ICICI Limited,N9,40000,5000,1,0,04-MAY-2001,22-MAR-2001,22-AUG-2020,40000,,,,INE005A11796
ICICI0301,ICICI Limited,N9,40000,5000,1,0,04-MAY-2001,22-MAR-2001,22-AUG-2020,,,,22-AUG-2020,INE005A11796
ICICI0302,ICICI Limited,NC,40000,5000,1,0,30-APR-2002,27-MAR-2002,27-MAR-2023,40000,,,,INE005A11BF7
ICICI0302,ICICI Limited,NC,40000,5000,1,0,30-APR-2002,27-MAR-2002,27-MAR-2023,,,,27-MAR-2023,INE005A11BF7
ICICI0401,ICICI Limited,N9,40000,5000,1,0,30-MAY-2001,26-APR-2001,26-JUL-2022,40000,,,,INE005A11846
ICICI0401,ICICI Limited,N9,40000,5000,1,0,30-MAY-2001,26-APR-2001,26-JUL-2022,,,,26-JUL-2022,INE005A11846
ICICI0402,ICICI Limited,NC,40000,5000,1,0,30-MAY-2002,23-APR-2002,23-JUL-2023,40000,,,,INE005A11BK7
ICICI0402,ICICI Limited,NC,40000,5000,1,0,30-MAY-2002,23-APR-2002,23-JUL-2023,,,,23-JUL-2023,INE005A11BK7
ICICI0699,ICICI Limited,NA,100000,5000,1,0,14-JUL-1999,16-JUN-1999,16-APR-2023,100000,,,,INE005A11531
ICICI0699,ICICI Limited,NA,100000,5000,1,0,14-JUL-1999,16-JUN-1999,16-APR-2023,,,,16-APR-2023,INE005A11531
ICICI0701,ICICI Limited,N8,40000,5000,1,0,30-AUG-2001,24-JUL-2001,24-APR-2022,40000,,,,INE005A11911
ICICI0701,ICICI Limited,N8,40000,5000,1,0,30-AUG-2001,24-JUL-2001,24-APR-2022,,,,24-APR-2022,INE005A11911
ICICI0801,ICICI Limited,NA,40000,5000,1,0,03-OCT-2001,28-AUG-2001,28-AUG-2022,40000,,,,INE005A11960
ICICI0801,ICICI Limited,NA,40000,5000,1,0,03-OCT-2001,28-AUG-2001,28-AUG-2022,,,,28-AUG-2022,INE005A11960
ICICI0901,ICICI Limited,NB,40000,5000,1,0,23-OCT-2001,27-SEP-2001,27-SEP-2022,40000,,,,INE005A11AC6
ICICI0901,ICICI Limited,NB,40000,5000,1,0,23-OCT-2001,27-SEP-2001,27-SEP-2022,,,,27-SEP-2022,INE005A11AC6
ICICI1000,ICICI Limited,NB,50000,5000,1,0,17-NOV-2000,05-OCT-2000,05-JAN-2022,50000,,,,INE005A11085
ICICI1000,ICICI Limited,NB,50000,5000,1,0,17-NOV-2000,05-OCT-2000,05-JAN-2022,,,,05-JAN-2022,INE005A11085
ICICI1098,ICICI Limited,NB,100000,4000,1,0,20-OCT-1998,05-OCT-1998,05-DEC-2022,100000,,,,INE005A11309
ICICI1098,ICICI Limited,NB,100000,4000,1,0,20-OCT-1998,05-OCT-1998,05-DEC-2022,,,,05-DEC-2022,INE005A11309
ICICI1100,ICICI Limited,NA,50000,5000,1,0,21-DEC-2000,14-NOV-2000,14-OCT-2021,50000,,,,INE005A11200
ICICI1100,ICICI Limited,NA,50000,5000,1,0,21-DEC-2000,14-NOV-2000,14-OCT-2021,,,,14-OCT-2021,INE005A11200
ICICI1101,ICICI Limited,NC,40000,5000,1,0,11-DEC-2001,12-NOV-2001,12-NOV-2022,5000,,,,INE005A11AI3
ICICI1101,ICICI Limited,NC,40000,5000,1,0,11-DEC-2001,12-NOV-2001,12-NOV-2022,,,,12-NOV-2022,INE005A11AI3
ICICI1200,ICICI Limited,NA,50000,5000,1,0,23-JAN-2001,13-DEC-2000,13-MAR-2022,50000,,,,INE005A11440
ICICI1200,ICICI Limited,NA,50000,5000,1,0,23-JAN-2001,13-DEC-2000,13-MAR-2022,,,,13-MAR-2022,INE005A11440
ICICI1201,ICICI Limited,NB,40000,5000,1,0,18-JAN-2002,24-DEC-2001,24-DEC-2022,40000,,,,INE005A11AO1
ICICI1201,ICICI Limited,NB,40000,5000,1,0,18-JAN-2002,24-DEC-2001,24-DEC-2022,,,,24-DEC-2022,INE005A11AO1
ICICI1298,ICICI Limited,NB,100000,4000,1,0,07-DEC-1998,01-DEC-1998,01-MAY-2023,100000,,,,INE005A11341
ICICI1298,ICICI Limited,NB,100000,4000,1,0,07-DEC-1998,01-DEC-1998,01-MAY-2023,,,,01-MAY-2023,INE005A11341
ICICI1299,ICICI Limited,NC,100000,8500,1,0,09-FEB-2000,24-DEC-1999,24-SEP-2022,100000,,,,INE005A11697
ICICI1299,ICICI Limited,NC,100000,8500,1,0,09-FEB-2000,24-DEC-1999,24-SEP-2022,,,,24-SEP-2022,INE005A11697
IDFCFIRSTB,IDFC First Bank Limited,N1,5000,5000,1,8,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2016,INE092T08CC6
IDFCFIRSTB,IDFC First Bank Limited,N1,5000,5000,1,8,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2017,INE092T08CC6
IDFCFIRSTB,IDFC First Bank Limited,N1,5000,5000,1,8,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2018,INE092T08CC6
IDFCFIRSTB,IDFC First Bank Limited,N1,5000,5000,1,8,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2019,INE092T08CC6
IDFCFIRSTB,IDFC First Bank Limited,N1,5000,5000,1,8,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2020,INE092T08CC6
IDFCFIRSTB,IDFC First Bank Limited,N2,5000,5000,1,0,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2016,INE092T08CD4
IDFCFIRSTB,IDFC First Bank Limited,N2,5000,5000,1,0,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2017,INE092T08CD4
IDFCFIRSTB,IDFC First Bank Limited,N2,5000,5000,1,0,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2018,INE092T08CD4
IDFCFIRSTB,IDFC First Bank Limited,N2,5000,5000,1,0,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2019,INE092T08CD4
IDFCFIRSTB,IDFC First Bank Limited,N2,5000,5000,1,0,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2020,INE092T08CD4
IDFCFIRSTB,IDFC First Bank Limited,N3,5000,5000,1,7.5,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2016,INE092T08CE2
IDFCFIRSTB,IDFC First Bank Limited,N3,5000,5000,1,7.5,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2017,INE092T08CE2
IDFCFIRSTB,IDFC First Bank Limited,N3,5000,5000,1,7.5,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2018,INE092T08CE2
IDFCFIRSTB,IDFC First Bank Limited,N3,5000,5000,1,7.5,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2019,INE092T08CE2
IDFCFIRSTB,IDFC First Bank Limited,N3,5000,5000,1,7.5,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2020,INE092T08CE2
IDFCFIRSTB,IDFC First Bank Limited,N4,5000,5000,1,0,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2016,INE092T08CF9
IDFCFIRSTB,IDFC First Bank Limited,N4,5000,5000,1,0,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2017,INE092T08CF9
IDFCFIRSTB,IDFC First Bank Limited,N4,5000,5000,1,0,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2018,INE092T08CF9
IDFCFIRSTB,IDFC First Bank Limited,N4,5000,5000,1,0,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2019,INE092T08CF9
IDFCFIRSTB,IDFC First Bank Limited,N4,5000,5000,1,0,19-OCT-2015,12-NOV-2010,12-NOV-2020,,,,12-NOV-2020,INE092T08CF9
IDFCFIRSTB,IDFC First Bank Limited,N5,5000,5000,1,8,19-OCT-2015,21-FEB-2011,21-FEB-2021,,,,,INE092T08CG7
IDFCFIRSTB,IDFC First Bank Limited,N6,5000,5000,1,0,19-OCT-2015,21-FEB-2011,21-FEB-2021,,,,,INE092T08CH5
IDFCFIRSTB,IDFC First Bank Limited,N7,5000,5000,1,8.25,19-OCT-2015,30-MAR-2011,30-MAR-2021,,,,,INE092T08CI3
IDFCFIRSTB,IDFC First Bank Limited,N8,5000,5000,1,0,19-OCT-2015,30-MAR-2011,30-MAR-2021,,,,,INE092T08CJ1
IDFCFIRSTB,IDFC First Bank Limited,N9,5000,5000,1,9,19-OCT-2015,30-DEC-2011,30-DEC-2021,,,,,INE092T08CK9
IDFCFIRSTB,IDFC First Bank Limited,NA,5000,5000,1,0,19-OCT-2015,30-DEC-2011,30-DEC-2021,,,,,INE092T08CL7
IDFCFIRSTB,IDFC First Bank Limited,NB,5000,5000,1,8.7,19-OCT-2015,21-MAR-2012,21-MAR-2022,,,,,INE092T08CM5
IDFCFIRSTB,IDFC First Bank Limited,NC,5000,5000,1,0,19-OCT-2015,21-MAR-2012,21-MAR-2022,,,,,INE092T08CN3
IDFCFIRSTB,IDFC First Bank Limited,ND,5000,5000,1,8.43,19-OCT-2015,31-MAR-2012,31-MAR-2022,,,,,INE092T08CO1
IDFCFIRSTB,IDFC First Bank Limited,NE,5000,5000,1,0,19-OCT-2015,31-MAR-2012,31-MAR-2022,,,,,INE092T08CP8
IFCI,IFCI Limited,NC,1000,1000,1,9.8,04-DEC-2014,01-DEC-2014,01-DEC-2019,,,,,INE039A07751
IFCI,IFCI Limited,ND,1000,1000,1,0,04-DEC-2014,01-DEC-2014,01-DEC-2019,,,,,INE039A07769
IFCI,IFCI Limited,NE,1000,1000,1,9.4,04-DEC-2014,01-DEC-2014,01-DEC-2019,,,,,INE039A07777
IFCI,IFCI Limited,NF,1000,1000,1,9.9,04-DEC-2014,01-DEC-2014,01-DEC-2021,,,,,INE039A07785
IFCI,IFCI Limited,NG,1000,1000,1,0,04-DEC-2014,01-DEC-2014,01-DEC-2021,,,,,INE039A07793
IFCI,IFCI Limited,NH,1000,1000,1,9.9,04-DEC-2014,01-DEC-2014,01-DEC-2024,,,,,INE039A07801
IFCI,IFCI Limited,NI,1000,1000,1,0,04-DEC-2014,01-DEC-2014,01-DEC-2024,,,,,INE039A07819
IFCI,IFCI Limited,NJ,1000,1000,1,9.35,18-FEB-2015,13-FEB-2015,13-FEB-2020,,,,,INE039A07827
IFCI,IFCI Limited,NK,1000,1000,1,0,18-FEB-2015,13-FEB-2015,13-FEB-2020,,,,,INE039A07835
IFCI,IFCI Limited,NL,1000,1000,1,9.4,18-FEB-2015,13-FEB-2015,13-FEB-2025,,,,,INE039A07843
IFCI,IFCI Limited,NM,1000,1000,1,0,18-FEB-2015,13-FEB-2015,13-FEB-2025,,,,,INE039A07850
IIFCL,India Infrastructure Finance Company Limited,N1,1000,1000,1,7.4,22-MAR-2017,22-JAN-2013,22-JAN-2033,,,,,INE787H07156
IIFCL,India Infrastructure Finance Company Limited,N2,1000,1000,1,8.66,22-MAR-2017,22-JAN-2014,22-JAN-2024,,,,,INE787H07354
IIFCL,India Infrastructure Finance Company Limited,N3,1000,1000,1,8.66,22-MAR-2017,22-JAN-2014,22-JAN-2034,,,,,INE787H07347
IIFCL,India Infrastructure Finance Company Limited,N4,1000,1000,1,8.91,22-MAR-2017,22-JAN-2014,22-JAN-2034,,,,,INE787H07370
IIFLFIN,India Infoline Finance Limited,NC,1000,1000,1,9.5,08-FEB-2019,,07-MAY-2022,,,,,INE866I07BY4
IIFLFIN,India Infoline Finance Limited,ND,1000,1000,1,9.6,08-FEB-2019,,07-MAY-2022,,,,,INE866I07BZ1
IIFLFIN,India Infoline Finance Limited,NE,1000,1000,1,,08-FEB-2019,,07-MAY-2022,,,,,INE866I07CB0
IIFLFIN,India Infoline Finance Limited,NF,1000,1000,1,9.75,08-FEB-2019,,07-FEB-2024,,,,,INE866I07CD6
IIFLFIN,India Infoline Finance Limited,NG,1000,1000,1,10.2,08-FEB-2019,,07-FEB-2024,,,,,INE866I07CF1
IIFLFIN,India Infoline Finance Limited,NH,1000,1000,1,10,08-FEB-2019,,07-FEB-2029,,,,,INE866I08279
IIFLFIN,India Infoline Finance Limited,NI,1000,1000,1,10.5,08-FEB-2019,,07-FEB-2029,,,,,INE866I08295
IIFLFIN,India Infoline Finance Limited,NJ,1000,1000,1,,09-SEP-2019,,06-DEC-2020,,,,,INE866I07CJ3
IIFLFIN,India Infoline Finance Limited,NK,1000,1000,1,9.5,09-SEP-2019,,06-DEC-2022,,,,,INE866I07CK1
IIFLFIN,India Infoline Finance Limited,NL,1000,1000,1,,09-SEP-2019,,06-DEC-2022,,,,,INE866I07CL9
IIFLFIN,India Infoline Finance Limited,NM,1000,1000,1,9.85,09-SEP-2019,,06-DEC-2022,,,,,INE866I07CM7
IIFLFIN,India Infoline Finance Limited,NN,1000,1000,1,10,09-SEP-2019,,,,,,,INE866I08303
IIFLFIN,India Infoline Finance Limited,NO,1000,1000,1,,09-SEP-2019,,06-JUN-2025,,,,,INE866I08311
IIHFL,India Infoline Housing Finance Limited,N2,1000,1000,1,12,07-APR-2014,03-APR-2014,02-APR-2020,,,,,INE477L08014
IIHFL,India Infoline Housing Finance Limited,N3,1000,1000,1,0,07-APR-2014,03-APR-2014,02-APR-2020,,,,,INE477L08022
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2016,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2017,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2018,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2019,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2020,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2021,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2022,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2023,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N1,1000,1000,1,8.16,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2024,INE202E07104
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2016,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2017,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2018,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2019,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2020,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2021,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2022,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2023,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2024,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2025,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2026,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2027,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2028,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N2,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2029,INE202E07120
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2016,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2017,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2018,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2019,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2020,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2021,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2022,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2023,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2024,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2025,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2026,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2027,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2028,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2029,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2030,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2031,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2032,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2033,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N3,1000,1000,1,8.55,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2034,INE202E07146
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2016,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2017,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2018,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2019,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2020,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2021,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2022,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2023,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N4,1000,1000,1,8.41,19-MAR-2014,13-MAR-2014,13-MAR-2024,,,,13-MAR-2024,INE202E07112
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2016,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2017,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2018,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2019,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2020,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2021,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2022,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2023,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2024,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2025,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2026,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2027,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2028,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N5,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2029,,,,13-MAR-2029,INE202E07138
IREDA,Indian Renewable Energy Development Agency Limited,N6,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2016,INE202E07153
IREDA,Indian Renewable Energy Development Agency Limited,N6,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2017,INE202E07153
IREDA,Indian Renewable Energy Development Agency Limited,N6,1000,1000,1,8.8,19-MAR-2014,13-MAR-2014,13-MAR-2034,,,,13-MAR-2018,INE202E07153
